,volts,amps,power,sysstatus,timestamp,M_ID
2280,13.48,-0.148,-2,10100000_00000000,0.010826826,_M_00010
2281,13.48,-0.151,-2,10100000_00000000,0.034826517,_M_00010
2282,13.48,-0.147,-1.9,10100000_00000000,0.066896677,_M_00010
2283,13.48,-0.149,-2,10100000_00000000,0.101339579,_M_00010
2284,13.48,-0.146,-1.9,10100000_00000000,0.141338587,_M_00010
2285,13.48,-0.147,-1.9,10100000_00000000,0.171393871,_M_00010
2286,13.48,-0.149,-2,10100000_00000000,0.201265335,_M_00010
2287,13.48,-0.149,-2,10100000_00000000,0.241208076,_M_00010
2288,13.48,-0.146,-1.9,10100000_00000000,0.271206379,_M_00010
2289,13.48,-0.149,-2,10100000_00000000,0.30122304,_M_00010
2290,13.48,-0.146,-1.9,10100000_00000000,0.341207743,_M_00010
2291,13.48,-0.146,-1.9,10100000_00000000,0.371199369,_M_00010
2292,13.48,-0.15,-2,10100000_00000000,0.401198387,_M_00010
2293,13.48,-0.147,-1.9,10100000_00000000,0.439819813,_M_00010
2294,13.48,-0.148,-2,10100000_00000000,0.471400023,_M_00010
2295,13.48,-0.148,-2,10100000_00000000,0.501328468,_M_00010
2296,13.48,-0.147,-1.9,10100000_00000000,0.541399002,_M_00010
2297,13.48,-0.148,-2,10100000_00000000,0.571424961,_M_00010
2298,13.48,-0.15,-2,10100000_00000000,0.601328135,_M_00010
2299,13.48,-0.148,-2,10100000_00000000,0.641405344,_M_00010
2300,13.48,-0.149,-2,10100000_00000000,0.671405792,_M_00010
2301,13.48,-0.151,-2,10100000_00000000,0.70136261,_M_00010
2302,13.48,-0.148,-2,10100000_00000000,0.741406202,_M_00010
2303,13.48,-0.145,-1.9,10100000_00000000,0.77139926,_M_00010
2304,13.48,-0.149,-2,10100000_00000000,0.801361799,_M_00010
2305,13.5,-0.146,-1.9,10100000_00000000,0.841397762,_M_00010
2306,13.48,-0.149,-2,10100000_00000000,0.871399164,_M_00010
2307,13.48,-0.15,-2,10100000_00000000,0.901362658,_M_00010
2308,13.48,-0.146,-1.9,10100000_00000000,0.933445692,_M_00010
2309,13.48,-0.147,-1.9,10100000_00000000,0.970213413,_M_00010
2310,13.48,-0.149,-2,10100000_00000000,1.004517078,_M_00010
2311,13.48,-0.15,-2,10100000_00000000,1.034446239,_M_00010
2312,13.48,-0.151,-2,10100000_00000000,1.071651459,_M_00010
2313,13.48,-0.148,-2,10100000_00000000,1.101825953,_M_00010
2314,13.48,-0.146,-1.9,10100000_00000000,1.142358065,_M_00010
2315,13.48,-0.148,-2,10100000_00000000,1.172031641,_M_00010
2316,13.48,-0.15,-2,10100000_00000000,1.202232838,_M_00010
2317,13.48,-0.146,-1.9,10100000_00000000,1.242031813,_M_00010
2318,13.48,-0.149,-2,10100000_00000000,1.272042751,_M_00010
2319,13.48,-0.149,-2,10100000_00000000,1.30203414,_M_00010
2320,13.5,-0.147,-1.9,10100000_00000000,1.342039585,_M_00010
2321,13.48,-0.149,-2,10100000_00000000,1.372031212,_M_00010
2322,13.48,-0.15,-2,10100000_00000000,1.402041912,_M_00010
2323,13.48,-0.148,-2,10100000_00000000,1.442032099,_M_00010
2324,13.48,-0.148,-2,10100000_00000000,1.472031593,_M_00010
2325,13.48,-0.151,-2,10100000_00000000,1.500590801,_M_00010
2326,13.48,-0.147,-1.9,10100000_00000000,1.537695408,_M_00010
2327,13.48,-0.149,-2,10100000_00000000,1.572370052,_M_00010
2328,13.48,-0.149,-2,10100000_00000000,1.602450609,_M_00010
