,volts,amps,power,sysstatus,timestamp,M_ID
600,12.95,-9.983,-129.3,10100000_00000000,0.009939909,_M_00010
601,12.95,-9.981,-129.3,10100000_00000000,0.038327694,_M_00010
602,12.95,-9.981,-129.3,10100000_00000000,0.070300102,_M_00010
603,12.95,-9.981,-129.2,10100000_00000000,0.108047485,_M_00010
604,12.95,-9.981,-129.2,10100000_00000000,0.138036013,_M_00010
605,12.95,-9.981,-129.3,10100000_00000000,0.172713041,_M_00010
606,12.95,-9.981,-129.3,10100000_00000000,0.202705622,_M_00010
607,12.95,-9.98,-129.2,10100000_00000000,0.242706537,_M_00010
608,12.95,-9.981,-129.3,10100000_00000000,0.272707224,_M_00010
609,12.95,-9.981,-129.3,10100000_00000000,0.302718639,_M_00010
610,12.95,-9.98,-129.3,10100000_00000000,0.342705965,_M_00010
611,12.95,-9.98,-129.3,10100000_00000000,0.372814417,_M_00010
612,12.95,-9.98,-129.2,10100000_00000000,0.404124022,_M_00010
613,12.95,-9.979,-129.2,10100000_00000000,0.434262276,_M_00010
614,12.95,-9.98,-129.2,10100000_00000000,0.468702793,_M_00010
615,12.95,-9.981,-129.3,10100000_00000000,0.508779049,_M_00010
616,12.95,-9.979,-129.2,10100000_00000000,0.538810015,_M_00010
617,12.95,-9.981,-129.2,10100000_00000000,0.568784237,_M_00010
618,12.95,-9.979,-129.3,10100000_00000000,0.608867645,_M_00010
619,12.95,-9.981,-129.3,10100000_00000000,0.641269922,_M_00010
620,12.95,-9.98,-129.2,10100000_00000000,0.670994043,_M_00010
621,12.95,-9.98,-129.3,10100000_00000000,0.701970577,_M_00010
622,12.95,-9.98,-129.3,10100000_00000000,0.743218184,_M_00010
623,12.95,-9.98,-129.2,10100000_00000000,0.774173737,_M_00010
624,12.95,-9.981,-129.2,10100000_00000000,0.804487228,_M_00010
625,12.95,-9.98,-129.3,10100000_00000000,0.834937096,_M_00010
626,12.95,-9.98,-129.2,10100000_00000000,0.875839949,_M_00010
627,12.95,-9.979,-129.2,10100000_00000000,0.907079935,_M_00010
628,12.95,-9.98,-129.3,10100000_00000000,0.938181877,_M_00010
629,12.95,-9.98,-129.3,10100000_00000000,0.969036341,_M_00010
630,12.95,-9.98,-129.2,10100000_00000000,1.005576134,_M_00010
631,12.95,-9.981,-129.3,10100000_00000000,1.037783861,_M_00010
632,12.95,-9.982,-129.3,10100000_00000000,1.074662685,_M_00010
633,12.95,-9.98,-129.2,10100000_00000000,1.105658054,_M_00010
634,12.95,-9.979,-129.2,10100000_00000000,1.136686802,_M_00010
635,12.95,-9.98,-129.3,10100000_00000000,1.167592764,_M_00010
636,12.95,-9.981,-129.3,10100000_00000000,1.209007025,_M_00010
637,12.95,-9.98,-129.3,10100000_00000000,1.240111351,_M_00010
638,12.95,-9.981,-129.3,10100000_00000000,1.270965815,_M_00010
639,12.95,-9.98,-129.2,10100000_00000000,1.3018682,_M_00010
640,12.95,-9.98,-129.2,10100000_00000000,1.343194485,_M_00010
641,12.95,-9.98,-129.2,10100000_00000000,1.374018908,_M_00010
642,12.95,-9.981,-129.3,10100000_00000000,1.405033827,_M_00010
643,12.95,-9.981,-129.3,10100000_00000000,1.43615222,_M_00010
644,12.95,-9.981,-129.2,10100000_00000000,1.467108011,_M_00010
645,12.95,-9.981,-129.3,10100000_00000000,1.50868082,_M_00010
646,12.95,-9.98,-129.2,10100000_00000000,1.538932323,_M_00010
647,12.95,-9.981,-129.3,10100000_00000000,1.569200039,_M_00010
648,12.95,-9.979,-129.2,10100000_00000000,1.609896183,_M_00010
649,12.95,-9.981,-129.3,10100000_00000000,1.640362501,_M_00010
650,12.95,-9.98,-129.3,10100000_00000000,1.670910835,_M_00010
651,12.95,-9.98,-129.2,10100000_00000000,1.701776981,_M_00010
652,12.95,-9.979,-129.2,10100000_00000000,1.743104935,_M_00010
653,12.95,-9.979,-129.2,10100000_00000000,1.774084568,_M_00010
654,12.95,-9.981,-129.2,10100000_00000000,1.804638147,_M_00010
655,12.95,-9.982,-129.3,10100000_00000000,1.8350389,_M_00010
656,12.95,-9.981,-129.3,10100000_00000000,1.875561237,_M_00010
657,12.95,-9.98,-129.2,10100000_00000000,1.90630579,_M_00010
658,12.95,-9.981,-129.2,10100000_00000000,1.936644554,_M_00010
659,12.95,-9.981,-129.2,10100000_00000000,1.967164993,_M_00010
540,12.95,-9.981,-129.2,10100000_00000000,2.00596261,_M_00010
541,12.95,-9.981,-129.3,10100000_00000000,2.037962914,_M_00010
542,12.95,-9.981,-129.3,10100000_00000000,2.070706844,_M_00010
543,12.95,-9.981,-129.3,10100000_00000000,2.107325792,_M_00010
544,12.95,-9.98,-129.2,10100000_00000000,2.137322903,_M_00010
545,12.95,-9.982,-129.2,10100000_00000000,2.167241573,_M_00010
546,12.95,-9.98,-129.2,10100000_00000000,2.207241774,_M_00010
547,12.95,-9.981,-129.2,10100000_00000000,2.237241268,_M_00010
548,12.95,-9.982,-129.3,10100000_00000000,2.268206358,_M_00010
549,12.95,-9.98,-129.2,10100000_00000000,2.309103727,_M_00010
550,12.95,-9.981,-129.2,10100000_00000000,2.339448214,_M_00010
551,12.95,-9.981,-129.3,10100000_00000000,2.369864225,_M_00010
552,12.95,-9.981,-129.3,10100000_00000000,2.400316,_M_00010
553,12.95,-9.981,-129.2,10100000_00000000,2.441587925,_M_00010
554,12.95,-9.981,-129.2,10100000_00000000,2.472600698,_M_00010
555,12.95,-9.98,-129.3,10100000_00000000,2.50339222,_M_00010
556,12.95,-9.981,-129.2,10100000_00000000,2.534310579,_M_00010
557,12.95,-9.981,-129.2,10100000_00000000,2.575326681,_M_00010
558,12.95,-9.981,-129.2,10100000_00000000,2.607667208,_M_00010
559,12.95,-9.981,-129.2,10100000_00000000,2.638602018,_M_00010
560,12.95,-9.98,-129.3,10100000_00000000,2.669678926,_M_00010
561,12.95,-9.98,-129.2,10100000_00000000,2.700595617,_M_00010
562,12.95,-9.981,-129.2,10100000_00000000,2.742002487,_M_00010
563,12.95,-9.98,-129.2,10100000_00000000,2.773083448,_M_00010
564,12.95,-9.981,-129.2,10100000_00000000,2.803319693,_M_00010
565,12.95,-9.981,-129.2,10100000_00000000,2.833803654,_M_00010
566,12.95,-9.981,-129.2,10100000_00000000,2.874309063,_M_00010
567,12.98,-9.437,-120.9,10100000_00000000,2.904922247,_M_00010
568,13.21,-4.989,-66,10100000_00000000,2.935262918,_M_00010
569,13.21,-4.99,-66,10100000_00000000,2.975734234,_M_00010
570,13.21,-4.989,-65.9,10100000_00000000,3.006032228,_M_00010
571,13.21,-4.986,-65.9,10100000_00000000,3.036221981,_M_00010
572,13.21,-4.989,-65.9,10100000_00000000,3.076691151,_M_00010
573,13.21,-4.989,-66,10100000_00000000,3.104924202,_M_00010
574,13.21,-4.989,-65.9,10100000_00000000,3.139863968,_M_00010
575,13.21,-4.987,-65.9,10100000_00000000,3.170199871,_M_00010
576,13.21,-4.99,-66,10100000_00000000,3.200554609,_M_00010
577,13.21,-4.987,-66,10100000_00000000,3.241069317,_M_00010
578,13.21,-4.987,-65.9,10100000_00000000,3.271820545,_M_00010
579,13.21,-4.989,-65.9,10100000_00000000,3.302643061,_M_00010
580,13.21,-4.99,-66,10100000_00000000,3.333393335,_M_00010
581,13.21,-4.986,-65.9,10100000_00000000,3.374541521,_M_00010
582,13.21,-4.989,-66,10100000_00000000,3.405638933,_M_00010
583,13.21,-4.987,-65.9,10100000_00000000,3.436448097,_M_00010
584,13.21,-4.989,-65.9,10100000_00000000,3.46728754,_M_00010
585,13.21,-4.987,-65.9,10100000_00000000,3.508669853,_M_00010
586,13.21,-4.99,-65.9,10100000_00000000,3.53961277,_M_00010
587,13.21,-4.989,-66,10100000_00000000,3.570711374,_M_00010
588,13.21,-4.989,-65.9,10100000_00000000,3.601651192,_M_00010
589,13.21,-4.989,-65.9,10100000_00000000,3.642892838,_M_00010
590,13.21,-4.987,-65.9,10100000_00000000,3.673361063,_M_00010
