,volts,amps,power,rctpower,linefreq,sysstatus,timestamp,M_ID,cycle
17880,121.55,3.48,409.5,87.6,59970,01100000_00110010,0.010962247848510742,_M_00004,1
17881,121.55,3.48,409.5,87.6,59970,01100000_00110010,0.02301955223083496,_M_00004,1
17882,121.59,3.424,402.7,87.1,59970,01100000_00110010,0.03986620903015137,_M_00004,1
17883,121.59,3.424,402.7,87.1,59970,01100000_00110010,0.05682659149169922,_M_00004,1
17884,121.59,3.424,402.7,87.1,59970,01100000_00110010,0.07175946235656738,_M_00004,1
17885,121.59,3.424,402.7,87.1,59970,01100000_00110010,0.08970046043395996,_M_00004,1
17886,121.57,3.463,407.6,87.2,59970,01100000_00110010,0.1066436767578125,_M_00004,1
17887,121.57,3.463,407.6,87.2,59970,01100000_00110010,0.1225895881652832,_M_00004,1
17888,121.57,3.463,407.6,87.2,59970,01100000_00110010,0.13953566551208496,_M_00004,1
17889,121.57,3.463,407.6,87.2,59970,01100000_00110010,0.1564781665802002,_M_00004,1
17890,121.57,3.469,408.3,87.9,60020,01100000_00110010,0.1724231243133545,_M_00004,1
17891,121.57,3.469,408.3,87.9,60020,01100000_00110010,0.1883692741394043,_M_00004,1
17892,121.57,3.469,408.3,87.9,60020,01100000_00110010,0.20630836486816406,_M_00004,1
17893,121.57,3.469,408.3,87.9,60020,01100000_00110010,0.2232515811920166,_M_00004,1
17894,121.55,3.449,405.7,88.1,59994,01100000_00110010,0.23919987678527832,_M_00004,1
17895,121.55,3.449,405.7,88.1,59994,01100000_00110010,0.25614309310913086,_M_00004,1
17896,121.55,3.449,405.7,88.1,59994,01100000_00110010,0.2720911502838135,_M_00004,1
17897,121.55,3.449,405.7,88.1,59994,01100000_00110010,0.2890331745147705,_M_00004,1
17898,121.59,3.44,404.8,88.1,59970,01100000_00110010,0.30597615242004395,_M_00004,1
17899,121.59,3.44,404.8,88.1,59970,01100000_00110010,0.32300853729248047,_M_00004,1
17900,121.59,3.44,404.8,88.1,59970,01100000_00110010,0.3388662338256836,_M_00004,1
17901,121.59,3.44,404.8,88.1,59970,01100000_00110010,0.35581088066101074,_M_00004,1
17902,121.57,3.48,409.6,86.9,59970,01100000_00110010,0.372753381729126,_M_00004,1
