,volts,amps,power,sysstatus,timestamp,M_ID,cycle
3540,20.94,0.006,0.1,11100000_00010000,0.009000301361083984,_M_00003,1
3541,20.94,0.008,0.1,11100000_00010000,0.03810262680053711,_M_00003,1
3542,20.94,0.008,0.2,11100000_00010000,0.07103109359741211,_M_00003,1
3543,20.94,0.008,0.1,11100000_00010000,0.10408759117126465,_M_00003,1
3544,20.94,0.008,0.2,11100000_00010000,0.13808822631835938,_M_00003,1
3545,20.94,0.008,0.2,11100000_00010000,0.1710824966430664,_M_00003,1
3546,20.94,0.008,0.2,11100000_00010000,0.2040724754333496,_M_00003,1
3547,20.94,0.004,0.1,11100000_00010000,0.23807477951049805,_M_00003,1
3548,20.94,0.008,0.2,11100000_00010000,0.2710723876953125,_M_00003,1
3549,20.94,0.01,0.2,11100000_00010000,0.3050377368927002,_M_00003,1
3550,20.94,0.006,0.1,11100000_00010000,0.3380732536315918,_M_00003,1
3551,20.94,0.008,0.1,11100000_00010000,0.37108707427978516,_M_00003,1
3552,20.94,0.008,0.2,11100000_00010000,0.40407276153564453,_M_00003,1
3553,20.94,0.01,0.2,11100000_00010000,0.43807291984558105,_M_00003,1
3554,20.94,0.008,0.2,11100000_00010000,0.47307252883911133,_M_00003,1
3555,20.94,-0.006,0.1,10100000_00010000,0.5040831565856934,_M_00003,1
3556,20.94,0.008,0.2,11100000_00010000,0.5380821228027344,_M_00003,1
3557,20.94,0.008,0.1,11100000_00010000,0.5710737705230713,_M_00003,1
3558,20.94,0.006,0.1,11100000_00010000,0.6040735244750977,_M_00003,1
3559,20.94,0.006,0.2,11100000_00010000,0.6380734443664551,_M_00003,1
3560,20.94,0.008,0.2,11100000_00010000,0.6720738410949707,_M_00003,1
3561,20.94,-0.008,0.2,10100000_00010000,0.7040784358978271,_M_00003,1
3562,20.94,0.008,0.1,11100000_00010000,0.7380728721618652,_M_00003,1
3563,20.94,0.008,0.2,11100000_00010000,0.771073579788208,_M_00003,1
3564,20.94,-0.008,0.2,10100000_00010000,0.8050713539123535,_M_00003,1
3565,20.94,0.006,0.1,11100000_00010000,0.838076114654541,_M_00003,1
3566,20.94,0.008,0.2,11100000_00010000,0.8710801601409912,_M_00003,1
3567,20.94,0.006,0.1,11100000_00010000,0.9040787220001221,_M_00003,1
3568,20.94,0.008,0.2,11100000_00010000,0.9380733966827393,_M_00003,1
3569,20.94,0.008,0.1,11100000_00010000,0.9710733890533447,_M_00003,1
3570,20.94,0.006,0.2,11100000_00010000,1.0040853023529053,_M_00003,1
3571,20.94,0.008,0.2,11100000_00010000,1.0380730628967285,_M_00003,1
3572,20.94,0.008,0.1,11100000_00010000,1.0710780620574951,_M_00003,1
3573,20.94,0.01,0.2,11100000_00010000,1.1040730476379395,_M_00003,1
3574,20.94,0.008,0.2,11100000_00010000,1.1380813121795654,_M_00003,1
3575,20.94,0.008,0.2,11100000_00010000,1.1709520816802979,_M_00003,1
3576,20.94,0.008,0.2,11100000_00010000,1.2049455642700195,_M_00003,1
3577,20.94,0.008,0.2,11100000_00010000,1.239955186843872,_M_00003,1
3578,20.94,0.008,0.1,11100000_00010000,1.2709476947784424,_M_00003,1
3579,20.92,-0.008,0.2,10100000_00010000,1.304945468902588,_M_00003,1
3580,20.94,0.004,0.1,11100000_00010000,1.3379535675048828,_M_00003,1
3581,20.94,0.008,0.2,11100000_00010000,1.3709478378295898,_M_00003,1
3582,20.94,0.008,0.2,11100000_00010000,1.4049561023712158,_M_00003,1
3583,20.92,0.008,0.2,11100000_00010000,1.4389538764953613,_M_00003,1
3584,20.94,0.006,0.2,11100000_00010000,1.4709553718566895,_M_00003,1
3585,20.92,0.006,0.2,11100000_00010000,1.5049505233764648,_M_00003,1
3586,20.94,-0.008,0.2,10100000_00010000,1.5379469394683838,_M_00003,1
3587,20.94,0.01,0.2,11100000_00010000,1.5709476470947266,_M_00003,1
