,volts,amps,power,sysstatus,timestamp,M_ID,cycle
1140,13.52,0.014,0.2,11100000_00010000,0.011964082717895508,_M_00005,1
1141,13.53,0.016,0.2,11100000_00010000,0.0408635139465332,_M_00005,1
1142,13.53,0.014,0.2,11100000_00010000,0.07040953636169434,_M_00005,1
1143,13.53,0.014,0.2,11100000_00010000,0.10420727729797363,_M_00005,1
1144,13.52,0.016,0.2,11100000_00010000,0.1380925178527832,_M_00005,1
1145,13.52,0.016,0.2,11100000_00010000,0.17098021507263184,_M_00005,1
1146,13.53,0.014,0.2,11100000_00010000,0.20486927032470703,_M_00005,1
1147,13.53,0.012,0.2,11100000_00010000,0.2397606372833252,_M_00005,1
1148,13.52,0.014,0.2,11100000_00010000,0.2715897560119629,_M_00005,1
1149,13.52,0.014,0.2,11100000_00010000,0.30457019805908203,_M_00005,1
1150,13.53,0.014,0.2,11100000_00010000,0.3373725414276123,_M_00005,1
1151,13.53,0.016,0.2,11100000_00010000,0.3713395595550537,_M_00005,1
1152,13.53,0.012,0.2,11100000_00010000,0.4041459560394287,_M_00005,1
1153,13.53,0.014,0.2,11100000_00010000,0.4390294551849365,_M_00005,1
1154,13.53,0.014,0.2,11100000_00010000,0.4700148105621338,_M_00005,1
1155,13.53,0.016,0.2,11100000_00010000,0.5046346187591553,_M_00005,1
1156,13.53,0.014,0.2,11100000_00010000,0.5368719100952148,_M_00005,1
1157,13.53,0.014,0.2,11100000_00010000,0.5708706378936768,_M_00005,1
1158,13.52,0.014,0.2,11100000_00010000,0.6048715114593506,_M_00005,1
1159,13.53,0.014,0.2,11100000_00010000,0.6380949020385742,_M_00005,1
1160,13.53,0.012,0.2,11100000_00010000,0.6709952354431152,_M_00005,1
1161,13.53,0.01,0.1,11100000_00010000,0.7049221992492676,_M_00005,1
1162,13.53,0.014,0.2,11100000_00010000,0.7382376194000244,_M_00005,1
1163,13.52,0.014,0.2,11100000_00010000,0.771019458770752,_M_00005,1
1164,13.52,0.014,0.2,11100000_00010000,0.8045501708984375,_M_00005,1
1165,13.53,0.012,0.2,11100000_00010000,0.8374700546264648,_M_00005,1
1166,13.53,0.014,0.2,11100000_00010000,0.8714673519134521,_M_00005,1
1167,13.52,0.01,0.2,11100000_00010000,0.9047937393188477,_M_00005,1
1168,13.53,0.012,0.2,11100000_00010000,0.9374587535858154,_M_00005,1
1169,13.53,0.014,0.2,11100000_00010000,0.9714663028717041,_M_00005,1
1170,13.53,0.014,0.2,11100000_00010000,1.003861904144287,_M_00005,1
1171,13.53,0.012,0.2,11100000_00010000,1.0374610424041748,_M_00005,1
1172,13.53,0.014,0.2,11100000_00010000,1.071465253829956,_M_00005,1
1173,13.53,0.014,0.2,11100000_00010000,1.1044728755950928,_M_00005,1
1174,13.53,0.012,0.2,11100000_00010000,1.1376454830169678,_M_00005,1
1175,13.53,0.012,0.2,11100000_00010000,1.1716744899749756,_M_00005,1
1176,13.53,0.012,0.1,11100000_00010000,1.2065682411193848,_M_00005,1
1177,13.53,0.014,0.2,11100000_00010000,1.23744797706604,_M_00005,1
1178,13.53,0.016,0.2,11100000_00010000,1.2711546421051025,_M_00005,1
1179,13.53,0.016,0.2,11100000_00010000,1.3036420345306396,_M_00005,1
1180,13.53,0.012,0.2,11100000_00010000,1.3382277488708496,_M_00005,1
1181,13.53,0.012,0.2,11100000_00010000,1.370971918106079,_M_00005,1
1182,13.52,0.012,0.2,11100000_00010000,1.4057750701904297,_M_00005,1
1183,13.53,0.016,0.2,11100000_00010000,1.437746286392212,_M_00005,1
1184,13.53,0.014,0.2,11100000_00010000,1.47127103805542,_M_00005,1
1185,13.52,0.014,0.2,11100000_00010000,1.5042734146118164,_M_00005,1
1186,13.53,0.016,0.2,11100000_00010000,1.5382704734802246,_M_00005,1
1187,13.53,0.014,0.2,11100000_00010000,1.5712766647338867,_M_00005,1
1188,13.53,0.014,0.2,11100000_00010000,1.604931354522705,_M_00005,1
1189,13.53,0.014,0.2,11100000_00010000,1.6377003192901611,_M_00005,1
1190,13.52,0.014,0.2,11100000_00010000,1.6713411808013916,_M_00005,1
1191,13.53,0.016,0.2,11100000_00010000,1.7048759460449219,_M_00005,1
1192,13.53,0.014,0.2,11100000_00010000,1.737821102142334,_M_00005,1
1193,13.52,0.016,0.2,11100000_00010000,1.7708208560943604,_M_00005,1
1194,13.53,0.014,0.2,11100000_00010000,1.804314374923706,_M_00005,1
1195,13.53,0.014,0.2,11100000_00010000,1.8376264572143555,_M_00005,1
1196,13.53,0.014,0.2,11100000_00010000,1.8715648651123047,_M_00005,1
