,volts,amps,power,sysstatus,timestamp,M_ID,cycle
780,13.53,0.018,0.2,11100000_00010000,0.010913848876953125,_M_00005,1
781,13.52,0.014,0.2,11100000_00010000,0.03778338432312012,_M_00005,1
782,13.52,0.012,0.2,11100000_00010000,0.07161712646484375,_M_00005,1
783,13.53,0.012,0.2,11100000_00010000,0.1047215461730957,_M_00005,1
784,13.53,0.012,0.1,11100000_00010000,0.13878822326660156,_M_00005,1
785,13.53,0.012,0.2,11100000_00010000,0.1719067096710205,_M_00005,1
786,13.53,0.014,0.2,11100000_00010000,0.20475411415100098,_M_00005,1
787,13.53,0.014,0.2,11100000_00010000,0.2376708984375,_M_00005,1
788,13.53,0.014,0.2,11100000_00010000,0.27062201499938965,_M_00005,1
789,13.52,0.014,0.2,11100000_00010000,0.30458688735961914,_M_00005,1
790,13.52,0.018,0.2,11100000_00010000,0.3375735282897949,_M_00005,1
791,13.52,0.012,0.2,11100000_00010000,0.37120628356933594,_M_00005,1
792,13.52,0.016,0.2,11100000_00010000,0.40490102767944336,_M_00005,1
793,13.53,0.014,0.2,11100000_00010000,0.4378781318664551,_M_00005,1
794,13.53,0.016,0.2,11100000_00010000,0.47069215774536133,_M_00005,1
795,13.53,0.016,0.2,11100000_00010000,0.5049467086791992,_M_00005,1
796,13.53,0.012,0.2,11100000_00010000,0.5377523899078369,_M_00005,1
797,13.52,-0.01,0.1,10100000_00010000,0.5742330551147461,_M_00005,1
798,13.53,0.01,0.2,11100000_00010000,0.6048786640167236,_M_00005,1
799,13.53,0.014,0.2,11100000_00010000,0.6379797458648682,_M_00005,1
800,13.52,0.014,0.2,11100000_00010000,0.6708803176879883,_M_00005,1
801,13.53,0.014,0.2,11100000_00010000,0.7046122550964355,_M_00005,1
802,13.53,0.014,0.2,11100000_00010000,0.7381901741027832,_M_00005,1
803,13.53,0.016,0.2,11100000_00010000,0.773207426071167,_M_00005,1
804,13.53,0.014,0.2,11100000_00010000,0.8048732280731201,_M_00005,1
805,13.53,0.012,0.2,11100000_00010000,0.8376336097717285,_M_00005,1
806,13.53,0.014,0.2,11100000_00010000,0.871638298034668,_M_00005,1
807,13.53,-0.016,0.2,10100000_00010000,0.9043715000152588,_M_00005,1
808,13.53,0.012,0.2,11100000_00010000,0.9380362033843994,_M_00005,1
809,13.53,0.012,0.2,11100000_00010000,0.9722099304199219,_M_00005,1
810,13.53,0.016,0.2,11100000_00010000,1.004242181777954,_M_00005,1
811,13.53,0.014,0.2,11100000_00010000,1.0376367568969727,_M_00005,1
812,13.53,0.012,0.2,11100000_00010000,1.0708661079406738,_M_00005,1
813,13.53,0.014,0.2,11100000_00010000,1.10475492477417,_M_00005,1
814,13.53,0.016,0.2,11100000_00010000,1.1383388042449951,_M_00005,1
815,13.53,0.014,0.2,11100000_00010000,1.171215295791626,_M_00005,1
816,13.52,0.012,0.2,11100000_00010000,1.203399658203125,_M_00005,1
817,13.53,0.014,0.2,11100000_00010000,1.2381153106689453,_M_00005,1
818,13.52,0.016,0.2,11100000_00010000,1.2710421085357666,_M_00005,1
819,13.53,0.012,0.2,11100000_00010000,1.304246187210083,_M_00005,1
820,13.53,0.014,0.1,11100000_00010000,1.337967872619629,_M_00005,1
821,13.44,1.801,22.0,11100000_00010000,1.371567964553833,_M_00005,1
822,13.32,5.107,66.9,11100000_00010000,1.4045825004577637,_M_00005,1
823,13.21,7.986,104.9,11100000_00010000,1.4375946521759033,_M_00005,1
824,13.12,9.949,130.6,11100000_00010000,1.4712698459625244,_M_00005,1
825,13.12,10.022,131.6,11100000_00010000,1.5042502880096436,_M_00005,1
826,13.12,10.02,131.6,11100000_00010000,1.5407726764678955,_M_00005,1
827,13.12,10.02,131.6,11100000_00010000,1.570997953414917,_M_00005,1
828,13.12,10.022,131.6,11100000_00010000,1.6046335697174072,_M_00005,1
829,13.12,10.018,131.5,11100000_00010000,1.6375792026519775,_M_00005,1
830,13.12,10.018,131.5,11100000_00010000,1.6713745594024658,_M_00005,1
831,13.12,10.018,131.5,11100000_00010000,1.7049751281738281,_M_00005,1
832,13.12,10.018,131.5,11100000_00010000,1.739927053451538,_M_00005,1
833,13.12,10.02,131.6,11100000_00010000,1.770951509475708,_M_00005,1
834,13.12,10.02,131.6,11100000_00010000,1.8049657344818115,_M_00005,1
835,13.12,10.02,131.6,11100000_00010000,1.8379793167114258,_M_00005,1
836,13.12,10.02,131.5,11100000_00010000,1.8710031509399414,_M_00005,1
837,13.12,10.02,131.6,11100000_00010000,1.9046013355255127,_M_00005,1
838,13.12,10.02,131.6,11100000_00010000,1.938955545425415,_M_00005,1
839,13.12,10.02,131.6,11100000_00010000,1.970961332321167,_M_00005,1
720,13.12,10.02,131.6,11100000_00010000,2.004262685775757,_M_00005,2
721,13.12,10.018,131.5,11100000_00010000,2.037109136581421,_M_00005,2
722,13.12,10.022,131.6,11100000_00010000,2.0717761516571045,_M_00005,2
723,13.12,10.018,131.5,11100000_00010000,2.1043999195098877,_M_00005,2
724,13.12,10.02,131.5,11100000_00010000,2.1386148929595947,_M_00005,2
725,13.12,10.018,131.6,11100000_00010000,2.171584367752075,_M_00005,2
726,13.12,10.022,131.6,11100000_00010000,2.2045609951019287,_M_00005,2
727,13.12,10.02,131.6,11100000_00010000,2.238161325454712,_M_00005,2
728,13.12,10.02,131.6,11100000_00010000,2.2714614868164062,_M_00005,2
729,13.12,10.018,131.5,11100000_00010000,2.3044042587280273,_M_00005,2
730,13.12,10.022,131.6,11100000_00010000,2.338163375854492,_M_00005,2
731,13.12,10.018,131.5,11100000_00010000,2.3710639476776123,_M_00005,2
732,13.12,10.018,131.5,11100000_00010000,2.405078172683716,_M_00005,2
733,13.12,10.02,131.6,11100000_00010000,2.4379258155822754,_M_00005,2
734,13.12,10.022,131.6,11100000_00010000,2.470665216445923,_M_00005,2
735,13.12,10.022,131.6,11100000_00010000,2.5075535774230957,_M_00005,2
736,13.12,10.022,131.6,11100000_00010000,2.5375921726226807,_M_00005,2
737,13.12,10.024,131.6,11100000_00010000,2.570909261703491,_M_00005,2
738,13.12,10.02,131.6,11100000_00010000,2.6048028469085693,_M_00005,2
739,13.12,10.018,131.5,11100000_00010000,2.6377170085906982,_M_00005,2
740,13.12,10.02,131.6,11100000_00010000,2.670666217803955,_M_00005,2
741,13.12,10.02,131.5,11100000_00010000,2.706495523452759,_M_00005,2
742,13.12,10.018,131.5,11100000_00010000,2.7375190258026123,_M_00005,2
743,13.12,10.02,131.5,11100000_00010000,2.771522283554077,_M_00005,2
744,13.12,10.02,131.5,11100000_00010000,2.8044795989990234,_M_00005,2
745,13.12,10.018,131.5,11100000_00010000,2.837495803833008,_M_00005,2
746,13.12,10.02,131.6,11100000_00010000,2.8709566593170166,_M_00005,2
747,13.12,10.02,131.5,11100000_00010000,2.9055964946746826,_M_00005,2
748,13.12,10.024,131.6,11100000_00010000,2.937605857849121,_M_00005,2
749,13.12,10.018,131.5,11100000_00010000,2.971599578857422,_M_00005,2
750,13.12,10.02,131.6,11100000_00010000,3.0046164989471436,_M_00005,2
751,13.12,10.022,131.6,11100000_00010000,3.0376245975494385,_M_00005,2
752,13.12,10.018,131.5,11100000_00010000,3.0716254711151123,_M_00005,2
753,13.12,10.022,131.6,11100000_00010000,3.1046524047851562,_M_00005,2
