,volts,amps,power,sysstatus,timestamp,M_ID
480,13.53,0.014,0.2,11100000_00010000,0.011254549,_M_00005
481,13.53,0.014,0.2,11100000_00010000,0.03967905,_M_00005
482,13.53,0.014,0.2,11100000_00010000,0.070256472,_M_00005
483,13.53,0.012,0.2,11100000_00010000,0.104598522,_M_00005
484,13.53,0.014,0.2,11100000_00010000,0.136978865,_M_00005
485,13.53,0.014,0.2,11100000_00010000,0.170571327,_M_00005
486,13.53,0.01,0.2,11100000_00010000,0.204132318,_M_00005
487,13.53,0.014,0.2,11100000_00010000,0.238250017,_M_00005
488,13.53,0.014,0.2,11100000_00010000,0.270316362,_M_00005
489,13.53,0.014,0.2,11100000_00010000,0.304543734,_M_00005
490,13.53,0.014,0.2,11100000_00010000,0.336748123,_M_00005
491,13.52,0.014,0.2,11100000_00010000,0.370831251,_M_00005
492,13.52,0.014,0.2,11100000_00010000,0.404600382,_M_00005
493,13.52,0.014,0.2,11100000_00010000,0.437225342,_M_00005
494,13.53,0.012,0.2,11100000_00010000,0.471187592,_M_00005
495,13.53,0.012,0.2,11100000_00010000,0.504036188,_M_00005
496,13.53,0.014,0.2,11100000_00010000,0.537147522,_M_00005
497,13.52,0.014,0.2,11100000_00010000,0.570538044,_M_00005
498,13.52,0.012,0.2,11100000_00010000,0.603684187,_M_00005
499,13.53,0.014,0.2,11100000_00010000,0.636988401,_M_00005
500,13.52,0.012,0.2,11100000_00010000,0.670860291,_M_00005
501,13.53,0.016,0.2,11100000_00010000,0.704678059,_M_00005
502,13.53,0.016,0.2,11100000_00010000,0.737615347,_M_00005
503,13.53,0.016,0.2,11100000_00010000,0.771248579,_M_00005
504,13.52,0.014,0.2,11100000_00010000,0.804194689,_M_00005
505,13.52,0.014,0.2,11100000_00010000,0.837132215,_M_00005
506,13.53,0.012,0.2,11100000_00010000,0.87086463,_M_00005
507,13.53,0.014,0.2,11100000_00010000,0.904591799,_M_00005
508,13.53,0.012,0.2,11100000_00010000,0.936839581,_M_00005
509,13.52,0.014,0.2,11100000_00010000,0.970054865,_M_00005
510,13.52,0.014,0.2,11100000_00010000,1.006437302,_M_00005
511,13.53,0.014,0.2,11100000_00010000,1.036854982,_M_00005
512,13.53,0.012,0.2,11100000_00010000,1.0700562,_M_00005
513,13.53,0.014,0.2,11100000_00010000,1.103196383,_M_00005
514,13.53,0.016,0.2,11100000_00010000,1.137449265,_M_00005
515,13.53,-0.01,0.2,10100000_00010000,1.17128253,_M_00005
516,13.52,0.016,0.2,11100000_00010000,1.205646515,_M_00005
517,13.53,0.014,0.2,11100000_00010000,1.23690176,_M_00005
518,13.53,0.014,0.2,11100000_00010000,1.270625114,_M_00005
519,13.52,0.012,0.2,11100000_00010000,1.304637194,_M_00005
520,13.52,0.014,0.2,11100000_00010000,1.337925434,_M_00005
521,13.53,0.014,0.2,11100000_00010000,1.370273829,_M_00005
522,13.53,0.01,0.2,11100000_00010000,1.404704094,_M_00005
523,13.52,0.016,0.2,11100000_00010000,1.437547445,_M_00005
524,13.52,0.016,0.2,11100000_00010000,1.471519947,_M_00005
525,13.53,0.012,0.2,11100000_00010000,1.504444599,_M_00005
526,13.53,0.014,0.2,11100000_00010000,1.537458181,_M_00005
527,13.53,0.012,0.2,11100000_00010000,1.571444273,_M_00005
528,13.53,0.014,0.2,11100000_00010000,1.604444504,_M_00005
529,13.53,0.014,0.2,11100000_00010000,1.637454748,_M_00005
530,13.53,0.012,0.2,11100000_00010000,1.67144537,_M_00005
