,volts,amps,power,sysstatus,timestamp,M_ID
720,13.44,5.024,67.6,11100000_00010000,0.010104418,_M_00005
721,13.44,5.024,67.6,11100000_00010000,0.037400007,_M_00005
722,13.44,5.026,67.6,11100000_00010000,0.071621656,_M_00005
723,13.44,5.026,67.6,11100000_00010000,0.105107546,_M_00005
724,13.44,5.022,67.5,11100000_00010000,0.138614655,_M_00005
725,13.44,5.022,67.6,11100000_00010000,0.171538353,_M_00005
726,13.44,5.026,67.6,11100000_00010000,0.205079079,_M_00005
727,13.44,5.022,67.6,11100000_00010000,0.238064051,_M_00005
728,13.44,5.024,67.5,11100000_00010000,0.270386934,_M_00005
729,13.44,5.026,67.6,11100000_00010000,0.304407835,_M_00005
730,13.44,5.024,67.6,11100000_00010000,0.337392807,_M_00005
731,13.44,5.022,67.5,11100000_00010000,0.371285915,_M_00005
732,13.44,5.024,67.6,11100000_00010000,0.404171705,_M_00005
733,13.44,5.026,67.6,11100000_00010000,0.437889576,_M_00005
734,13.44,5.022,67.6,11100000_00010000,0.470873594,_M_00005
735,13.44,5.022,67.5,11100000_00010000,0.50449872,_M_00005
736,13.44,5.026,67.6,11100000_00010000,0.53983736,_M_00005
737,13.44,5.024,67.6,11100000_00010000,0.571052074,_M_00005
738,13.44,5.022,67.6,11100000_00010000,0.604435444,_M_00005
739,13.44,5.028,67.6,11100000_00010000,0.638912201,_M_00005
740,13.44,5.024,67.6,11100000_00010000,0.670846462,_M_00005
741,13.44,5.026,67.6,11100000_00010000,0.704422474,_M_00005
742,13.44,5.024,67.5,11100000_00010000,0.738721371,_M_00005
743,13.44,5.024,67.6,11100000_00010000,0.770696878,_M_00005
744,13.44,5.024,67.6,11100000_00010000,0.804424524,_M_00005
745,13.44,5.022,67.5,11100000_00010000,0.83732605,_M_00005
746,13.44,5.026,67.6,11100000_00010000,0.871406794,_M_00005
747,13.44,5.024,67.6,11100000_00010000,0.904423237,_M_00005
748,13.44,5.026,67.6,11100000_00010000,0.937674046,_M_00005
749,13.44,5.026,67.6,11100000_00010000,0.97065568,_M_00005
750,13.44,5.024,67.5,11100000_00010000,1.004422665,_M_00005
751,13.44,5.026,67.6,11100000_00010000,1.037347317,_M_00005
752,13.44,5.022,67.5,11100000_00010000,1.070673466,_M_00005
753,13.44,5.02,67.5,11100000_00010000,1.104430199,_M_00005
754,13.44,5.024,67.6,11100000_00010000,1.137346268,_M_00005
755,13.44,5.026,67.6,11100000_00010000,1.171406269,_M_00005
756,13.44,5.024,67.6,11100000_00010000,1.204297304,_M_00005
757,13.44,5.026,67.6,11100000_00010000,1.237803936,_M_00005
758,13.44,5.026,67.6,11100000_00010000,1.27077198,_M_00005
759,13.44,5.024,67.6,11100000_00010000,1.30692482,_M_00005
760,13.44,5.022,67.6,11100000_00010000,1.337797642,_M_00005
761,13.44,5.024,67.6,11100000_00010000,1.370772123,_M_00005
762,13.44,5.026,67.6,11100000_00010000,1.404346704,_M_00005
763,13.44,5.024,67.6,11100000_00010000,1.437782526,_M_00005
764,13.44,5.022,67.5,11100000_00010000,1.470751762,_M_00005
765,13.44,5.024,67.6,11100000_00010000,1.506071806,_M_00005
766,13.44,5.022,67.6,11100000_00010000,1.53774929,_M_00005
767,13.44,5.022,67.5,11100000_00010000,1.571490288,_M_00005
768,13.44,5.026,67.6,11100000_00010000,1.604473829,_M_00005
769,13.44,5.024,67.6,11100000_00010000,1.637346506,_M_00005
770,13.44,5.024,67.6,11100000_00010000,1.671488047,_M_00005
771,13.44,5.024,67.6,11100000_00010000,1.705047369,_M_00005
772,13.44,5.024,67.6,11100000_00010000,1.738021851,_M_00005
773,13.44,5.022,67.5,11100000_00010000,1.770722151,_M_00005
774,13.44,5.024,67.6,11100000_00010000,1.8044734,_M_00005
775,13.44,5.022,67.6,11100000_00010000,1.837432623,_M_00005
776,13.44,5.026,67.6,11100000_00010000,1.871122599,_M_00005
777,13.44,5.024,67.6,11100000_00010000,1.904197454,_M_00005
778,13.44,5.026,67.6,11100000_00010000,1.938171625,_M_00005
779,13.44,5.022,67.5,11100000_00010000,1.971407413,_M_00005
660,13.44,5.026,67.6,11100000_00010000,2.004679918,_M_00005
661,13.44,5.022,67.6,11100000_00010000,2.037819624,_M_00005
662,13.44,5.022,67.5,11100000_00010000,2.070699215,_M_00005
663,13.44,5.024,67.5,11100000_00010000,2.104223728,_M_00005
664,13.44,5.022,67.6,11100000_00010000,2.138196707,_M_00005
665,13.44,5.026,67.6,11100000_00010000,2.171079397,_M_00005
666,13.44,5.026,67.6,11100000_00010000,2.204429626,_M_00005
667,13.44,5.024,67.6,11100000_00010000,2.236332893,_M_00005
668,13.44,5.024,67.6,11100000_00010000,2.273299932,_M_00005
669,13.44,5.022,67.5,11100000_00010000,2.304299831,_M_00005
670,13.44,5.026,67.6,11100000_00010000,2.337606907,_M_00005
671,13.44,5.028,67.6,11100000_00010000,2.371482134,_M_00005
672,13.44,5.022,67.6,11100000_00010000,2.404084444,_M_00005
673,13.44,5.026,67.6,11100000_00010000,2.437966585,_M_00005
674,13.44,5.026,67.6,11100000_00010000,2.471933603,_M_00005
675,13.44,5.026,67.6,11100000_00010000,2.504767418,_M_00005
676,13.44,5.024,67.6,11100000_00010000,2.538122416,_M_00005
677,13.44,5.024,67.6,11100000_00010000,2.571104765,_M_00005
678,13.44,5.026,67.6,11100000_00010000,2.60444808,_M_00005
679,13.44,5.026,67.6,11100000_00010000,2.638140202,_M_00005
680,13.44,5.024,67.6,11100000_00010000,2.671426058,_M_00005
681,13.44,5.026,67.5,11100000_00010000,2.704323769,_M_00005
682,13.44,5.026,67.6,11100000_00010000,2.738001108,_M_00005
683,13.44,5.03,67.6,11100000_00010000,2.770973206,_M_00005
684,13.44,5.026,67.6,11100000_00010000,2.804473877,_M_00005
685,13.44,5.024,67.6,11100000_00010000,2.837424994,_M_00005
686,13.44,5.024,67.6,11100000_00010000,2.871334314,_M_00005
687,13.44,5.028,67.6,11100000_00010000,2.904298544,_M_00005
688,13.44,5.022,67.6,11100000_00010000,2.938298941,_M_00005
689,13.44,5.026,67.6,11100000_00010000,2.971195698,_M_00005
690,13.44,5.024,67.5,11100000_00010000,3.004098654,_M_00005
691,13.44,5.026,67.6,11100000_00010000,3.040673256,_M_00005
692,13.44,5.02,67.5,11100000_00010000,3.07112813,_M_00005
693,13.44,5.024,67.6,11100000_00010000,3.104448795,_M_00005
694,13.44,5.024,67.6,11100000_00010000,3.137426615,_M_00005
695,13.44,5.024,67.6,11100000_00010000,3.171003819,_M_00005
696,13.44,5.028,67.6,11100000_00010000,3.2044487,_M_00005
697,13.44,5.022,67.5,11100000_00010000,3.23977375,_M_00005
698,13.44,5.026,67.6,11100000_00010000,3.270332575,_M_00005
699,13.44,5.024,67.6,11100000_00010000,3.304828167,_M_00005
700,13.44,5.024,67.6,11100000_00010000,3.337798595,_M_00005
701,13.44,5.026,67.6,11100000_00010000,3.370724201,_M_00005
702,13.44,5.026,67.6,11100000_00010000,3.404299259,_M_00005
703,13.44,5.024,67.6,11100000_00010000,3.438799143,_M_00005
704,13.44,5.022,67.6,11100000_00010000,3.47081089,_M_00005
705,13.44,5.024,67.6,11100000_00010000,3.504224062,_M_00005
706,13.44,5.026,67.6,11100000_00010000,3.538074493,_M_00005
707,13.44,5.024,67.6,11100000_00010000,3.570973635,_M_00005
708,13.44,5.022,67.5,11100000_00010000,3.60414362,_M_00005
709,13.44,5.024,67.6,11100000_00010000,3.637679338,_M_00005
710,13.44,5.026,67.6,11100000_00010000,3.671483994,_M_00005
711,13.44,5.024,67.6,11100000_00010000,3.70437336,_M_00005
712,13.44,5.026,67.6,11100000_00010000,3.737924814,_M_00005
713,13.46,5.026,67.6,11100000_00010000,3.770899296,_M_00005
714,13.44,5.028,67.6,11100000_00010000,3.804423571,_M_00005
715,13.44,5.024,67.6,11100000_00010000,3.837423563,_M_00005
716,13.44,5.024,67.6,11100000_00010000,3.871494293,_M_00005
717,13.44,5.026,67.6,11100000_00010000,3.904426813,_M_00005
718,13.44,5.028,67.6,11100000_00010000,3.938125134,_M_00005
719,13.44,5.024,67.6,11100000_00010000,3.971101522,_M_00005
600,13.44,5.024,67.5,11100000_00010000,4.006974459,_M_00005
601,13.44,5.028,67.6,11100000_00010000,4.038493633,_M_00005
602,13.44,5.024,67.6,11100000_00010000,4.071357965,_M_00005
603,13.44,5.026,67.6,11100000_00010000,4.104299545,_M_00005
604,13.44,5.024,67.5,11100000_00010000,4.138299465,_M_00005
605,13.44,5.026,67.6,11100000_00010000,4.170852423,_M_00005
606,13.44,5.028,67.6,11100000_00010000,4.206101656,_M_00005
607,13.44,5.022,67.5,11100000_00010000,4.238099813,_M_00005
608,13.44,5.028,67.6,11100000_00010000,4.270775318,_M_00005
609,13.44,5.024,67.6,11100000_00010000,4.304349184,_M_00005
610,13.44,5.024,67.6,11100000_00010000,4.337249279,_M_00005
611,13.44,5.026,67.6,11100000_00010000,4.371156216,_M_00005
612,13.44,5.024,67.5,11100000_00010000,4.405024529,_M_00005
613,13.44,5.028,67.6,11100000_00010000,4.438024282,_M_00005
614,13.44,5.022,67.6,11100000_00010000,4.470999002,_M_00005
615,13.44,5.026,67.6,11100000_00010000,4.504149675,_M_00005
616,13.44,5.022,67.6,11100000_00010000,4.538140535,_M_00005
617,13.44,5.026,67.6,11100000_00010000,4.571124554,_M_00005
618,13.44,5.024,67.6,11100000_00010000,4.604124069,_M_00005
619,13.44,5.024,67.6,11100000_00010000,4.637399197,_M_00005
620,13.44,5.022,67.5,11100000_00010000,4.671458721,_M_00005
621,13.44,5.024,67.6,11100000_00010000,4.704450369,_M_00005
622,13.44,5.026,67.6,11100000_00010000,4.738149881,_M_00005
623,13.44,5.024,67.6,11100000_00010000,4.771155119,_M_00005
624,13.44,5.024,67.5,11100000_00010000,4.804424763,_M_00005
625,13.44,5.026,67.6,11100000_00010000,4.838073969,_M_00005
626,13.44,5.024,67.6,11100000_00010000,4.871049643,_M_00005
627,13.44,5.022,67.5,11100000_00010000,4.90445137,_M_00005
628,13.44,5.028,67.6,11100000_00010000,4.938430786,_M_00005
629,13.44,5.024,67.6,11100000_00010000,4.973425627,_M_00005
630,13.44,5.024,67.6,11100000_00010000,5.004415989,_M_00005
631,13.44,5.024,67.6,11100000_00010000,5.037429571,_M_00005
632,13.44,5.026,67.6,11100000_00010000,5.071454763,_M_00005
633,13.44,5.022,67.5,11100000_00010000,5.104424953,_M_00005
634,13.44,5.026,67.6,11100000_00010000,5.137425661,_M_00005
635,13.44,5.024,67.6,11100000_00010000,5.172358513,_M_00005
636,13.44,5.024,67.6,11100000_00010000,5.204352379,_M_00005
637,13.44,5.022,67.5,11100000_00010000,5.236491203,_M_00005
638,13.44,5.022,67.6,11100000_00010000,5.270570755,_M_00005
639,13.44,5.026,67.6,11100000_00010000,5.304499865,_M_00005
640,13.44,5.024,67.6,11100000_00010000,5.337477446,_M_00005
641,13.44,5.024,67.6,11100000_00010000,5.37140584,_M_00005
642,13.44,5.024,67.6,11100000_00010000,5.404426813,_M_00005
643,13.44,5.022,67.6,11100000_00010000,5.437427044,_M_00005
644,13.44,5.026,67.6,11100000_00010000,5.471449614,_M_00005
645,13.44,5.024,67.6,11100000_00010000,5.504299879,_M_00005
646,13.44,5.024,67.6,11100000_00010000,5.538242579,_M_00005
647,13.44,5.022,67.6,11100000_00010000,5.571251392,_M_00005
648,13.44,5.026,67.6,11100000_00010000,5.604034901,_M_00005
649,13.46,5.02,67.6,11100000_00010000,5.637949944,_M_00005
650,13.44,5.028,67.6,11100000_00010000,5.670926094,_M_00005
651,13.44,5.022,67.5,11100000_00010000,5.704225779,_M_00005
652,13.44,5.024,67.6,11100000_00010000,5.740376949,_M_00005
653,13.44,5.026,67.6,11100000_00010000,5.771443605,_M_00005
654,13.44,5.022,67.5,11100000_00010000,5.8044312,_M_00005
655,13.44,5.026,67.6,11100000_00010000,5.838226557,_M_00005
656,13.44,5.022,67.5,11100000_00010000,5.871413469,_M_00005
657,13.44,5.026,67.6,11100000_00010000,5.904426813,_M_00005
658,13.44,5.026,67.6,11100000_00010000,5.939725637,_M_00005
659,13.44,5.024,67.6,11100000_00010000,5.970726013,_M_00005
540,13.44,5.024,67.6,11100000_00010000,6.004426718,_M_00005
541,13.44,5.024,67.6,11100000_00010000,6.037952185,_M_00005
542,13.44,5.024,67.6,11100000_00010000,6.070954323,_M_00005
543,13.44,5.024,67.6,11100000_00010000,6.104925871,_M_00005
544,13.44,5.024,67.6,11100000_00010000,6.138759136,_M_00005
545,13.44,5.028,67.6,11100000_00010000,6.170751572,_M_00005
546,13.44,5.022,67.6,11100000_00010000,6.204432249,_M_00005
547,13.44,5.024,67.5,11100000_00010000,6.237425089,_M_00005
548,13.44,5.026,67.6,11100000_00010000,6.27070117,_M_00005
549,13.44,5.022,67.6,11100000_00010000,6.304425955,_M_00005
550,13.44,5.024,67.6,11100000_00010000,6.337726831,_M_00005
551,13.44,5.022,67.5,11100000_00010000,6.370094538,_M_00005
552,13.44,5.024,67.6,11100000_00010000,6.403906584,_M_00005
553,13.44,5.028,67.6,11100000_00010000,6.437908888,_M_00005
554,13.44,5.022,67.6,11100000_00010000,6.470701694,_M_00005
555,13.44,5.026,67.6,11100000_00010000,6.504426718,_M_00005
556,13.44,5.024,67.6,11100000_00010000,6.53743124,_M_00005
557,13.44,5.024,67.6,11100000_00010000,6.571447134,_M_00005
558,13.44,5.026,67.6,11100000_00010000,6.60397625,_M_00005
559,13.44,5.024,67.6,11100000_00010000,6.637901068,_M_00005
560,13.44,5.026,67.6,11100000_00010000,6.671175718,_M_00005
561,13.44,5.024,67.6,11100000_00010000,6.706887245,_M_00005
562,13.44,5.024,67.6,11100000_00010000,6.737678289,_M_00005
563,13.44,5.028,67.6,11100000_00010000,6.770657301,_M_00005
564,13.44,5.026,67.6,11100000_00010000,6.804330826,_M_00005
565,13.44,5.024,67.6,11100000_00010000,6.838300943,_M_00005
566,13.44,5.024,67.6,11100000_00010000,6.871513605,_M_00005
567,13.44,5.028,67.6,11100000_00010000,6.90617609,_M_00005
568,13.44,5.02,67.5,11100000_00010000,6.938178062,_M_00005
569,13.44,5.024,67.6,11100000_00010000,6.971158504,_M_00005
570,13.44,5.022,67.6,11100000_00010000,7.00435257,_M_00005
571,13.44,5.024,67.6,11100000_00010000,7.037966967,_M_00005
572,13.44,5.022,67.6,11100000_00010000,7.070862532,_M_00005
573,13.44,5.024,67.5,11100000_00010000,7.10518074,_M_00005
574,13.44,5.024,67.6,11100000_00010000,7.137876511,_M_00005
575,13.44,5.026,67.6,11100000_00010000,7.170867205,_M_00005
576,13.44,5.028,67.6,11100000_00010000,7.204354286,_M_00005
577,13.44,5.024,67.6,11100000_00010000,7.237626791,_M_00005
578,13.44,5.026,67.6,11100000_00010000,7.271545649,_M_00005
579,13.44,5.024,67.6,11100000_00010000,7.304351568,_M_00005
580,13.44,5.022,67.5,11100000_00010000,7.337336063,_M_00005
581,13.44,5.02,67.5,11100000_00010000,7.370865822,_M_00005
582,13.44,5.026,67.6,11100000_00010000,7.40435338,_M_00005
583,13.44,5.022,67.5,11100000_00010000,7.437327862,_M_00005
584,13.44,5.024,67.6,11100000_00010000,7.471178532,_M_00005
585,13.44,5.022,67.6,11100000_00010000,7.504181147,_M_00005
586,13.44,5.026,67.6,11100000_00010000,7.53815341,_M_00005
587,13.44,5.022,67.5,11100000_00010000,7.570860147,_M_00005
588,13.44,5.026,67.6,11100000_00010000,7.604428053,_M_00005
589,13.44,5.026,67.6,11100000_00010000,7.637326956,_M_00005
590,13.44,5.024,67.6,11100000_00010000,7.673410416,_M_00005
591,13.44,5.024,67.6,11100000_00010000,7.70432663,_M_00005
592,13.44,5.02,67.5,11100000_00010000,7.738306999,_M_00005
593,13.44,5.022,67.5,11100000_00010000,7.770931005,_M_00005
594,13.44,5.024,67.6,11100000_00010000,7.804802418,_M_00005
595,13.44,5.026,67.6,11100000_00010000,7.837777615,_M_00005
596,13.44,5.022,67.5,11100000_00010000,7.872604132,_M_00005
597,13.44,5.024,67.6,11100000_00010000,7.904602289,_M_00005
598,13.44,5.024,67.6,11100000_00010000,7.937606335,_M_00005
599,13.44,5.026,67.6,11100000_00010000,7.971487522,_M_00005
480,13.44,5.024,67.6,11100000_00010000,8.004352093,_M_00005
481,13.44,5.024,67.6,11100000_00010000,8.037302017,_M_00005
482,13.44,5.024,67.6,11100000_00010000,8.071558475,_M_00005
483,13.44,5.026,67.6,11100000_00010000,8.104552746,_M_00005
484,13.44,5.024,67.6,11100000_00010000,8.137559652,_M_00005
485,13.44,5.024,67.6,11100000_00010000,8.171446323,_M_00005
486,13.44,5.024,67.6,11100000_00010000,8.204333782,_M_00005
487,13.44,5.028,67.6,11100000_00010000,8.238393307,_M_00005
488,13.44,5.022,67.6,11100000_00010000,8.271405935,_M_00005
489,13.44,5.026,67.6,11100000_00010000,8.304302454,_M_00005
490,13.44,5.024,67.6,11100000_00010000,8.338303328,_M_00005
491,13.44,5.024,67.6,11100000_00010000,8.371448994,_M_00005
492,13.44,5.024,67.6,11100000_00010000,8.404329062,_M_00005
493,13.44,5.028,67.6,11100000_00010000,8.440160513,_M_00005
494,13.44,5.02,67.5,11100000_00010000,8.471152544,_M_00005
495,13.44,5.026,67.6,11100000_00010000,8.504310369,_M_00005
496,13.44,5.024,67.6,11100000_00010000,8.538279295,_M_00005
497,13.44,5.026,67.6,11100000_00010000,8.570486307,_M_00005
498,13.44,5.024,67.6,11100000_00010000,8.604352474,_M_00005
499,13.44,5.024,67.6,11100000_00010000,8.639793873,_M_00005
500,13.44,5.024,67.5,11100000_00010000,8.670300007,_M_00005
501,13.44,5.026,67.6,11100000_00010000,8.70412755,_M_00005
502,13.44,5.024,67.6,11100000_00010000,8.738128901,_M_00005
503,13.44,5.022,67.5,11100000_00010000,8.771108389,_M_00005
504,13.44,5.022,67.5,11100000_00010000,8.80432868,_M_00005
505,13.44,5.026,67.6,11100000_00010000,8.839104414,_M_00005
506,13.44,5.022,67.5,11100000_00010000,8.870488167,_M_00005
507,13.44,5.022,67.6,11100000_00010000,8.904428244,_M_00005
508,13.44,5.028,67.6,11100000_00010000,8.937307119,_M_00005
509,13.05,35.675,390.2,11100000_00010000,8.970587492,_M_00005
510,12.82,45.03,577.6,11100000_00010000,9.004579067,_M_00005
511,12.82,45.024,577.7,11100000_00010000,9.038110256,_M_00005
512,12.82,45.024,577.9,11100000_00010000,9.071104527,_M_00005
513,13.03,37.07,415.9,11100000_00010000,9.10430336,_M_00005
514,13.44,5.022,67.5,11100000_00010000,9.138284206,_M_00005
515,13.44,5.026,67.6,11100000_00010000,9.171406031,_M_00005
516,13.44,5.026,67.6,11100000_00010000,9.204280138,_M_00005
517,13.44,5.02,67.5,11100000_00010000,9.238253593,_M_00005
518,13.44,5.024,67.6,11100000_00010000,9.27053833,_M_00005
519,13.44,5.026,67.6,11100000_00010000,9.304503679,_M_00005
520,13.44,5.024,67.6,11100000_00010000,9.337428331,_M_00005
521,13.44,5.024,67.6,11100000_00010000,9.371352434,_M_00005
522,13.44,5.024,67.6,11100000_00010000,9.407429934,_M_00005
523,13.44,5.022,67.5,11100000_00010000,9.437328815,_M_00005
524,13.44,5.024,67.6,11100000_00010000,9.471407413,_M_00005
525,13.44,5.02,67.5,11100000_00010000,9.504278183,_M_00005
526,13.44,5.026,67.6,11100000_00010000,9.538406134,_M_00005
527,13.44,5.022,67.5,11100000_00010000,9.571279764,_M_00005
528,13.44,5.024,67.6,11100000_00010000,9.606493235,_M_00005
529,13.44,5.026,67.6,11100000_00010000,9.637504101,_M_00005
530,13.44,5.024,67.6,11100000_00010000,9.671447992,_M_00005
