,volts,amps,power,sysstatus,timestamp,M_ID
1820,0.03,0.01,0,11100000_00010001,0.012196541,_M_00005
1821,0.01,0.008,0,11100000_00010001,0.032312155,_M_00005
1822,0.03,0.01,0,11100000_00010001,0.062015057,_M_00005
1823,0.03,0.012,0,11100000_00010001,0.090739965,_M_00005
1824,-0.03,0.008,0,11000000_00010001,0.11888361,_M_00005
1825,0.03,0.01,0,11100000_00010001,0.147980928,_M_00005
1826,0.03,0.008,0,11100000_00010001,0.17573452,_M_00005
1827,0.03,0.008,0,11100000_00010001,0.204809666,_M_00005
1828,0.03,0.012,0,11100000_00010001,0.232138634,_M_00005
1829,0.03,0.008,0,11100000_00010001,0.261809349,_M_00005
1830,0.03,0.008,0,11100000_00010001,0.290134192,_M_00005
1831,0.03,0.008,0,11100000_00010001,0.318709612,_M_00005
1832,0.03,0.006,0,11100000_00010001,0.347659349,_M_00005
1833,0.03,0.012,0,11100000_00010001,0.375984192,_M_00005
1834,0.03,-0.012,0,10100000_00010001,0.404610872,_M_00005
1835,0.03,0.01,0,11100000_00010001,0.431952238,_M_00005
1836,0.03,0.01,0,11100000_00010001,0.461939096,_M_00005
1837,0.03,-0.01,0,10100000_00010001,0.489734173,_M_00005
1838,0.03,0.006,0,11100000_00010001,0.519075155,_M_00005
1839,0.03,0.01,0,11100000_00010001,0.547133923,_M_00005
1840,0.03,0.01,0,11100000_00010001,0.576188564,_M_00005
1841,0.03,0.012,0,11100000_00010001,0.604161263,_M_00005
1842,0.03,0.01,0,11100000_00010001,0.633454084,_M_00005
1843,0.03,0.01,0,11100000_00010001,0.661508799,_M_00005
1844,-0.03,0.01,0,11000000_00010001,0.689983606,_M_00005
1845,0.03,-0.01,0,10100000_00010001,0.718933344,_M_00005
1846,0.03,0.012,0,11100000_00010001,0.746913671,_M_00005
1847,0.03,0.01,0,11100000_00010001,0.776259661,_M_00005
1848,0.03,0.01,0,11100000_00010001,0.803983688,_M_00005
1849,0.03,0.008,0,11100000_00010001,0.832065821,_M_00005
1850,0.03,0.008,0,11100000_00010001,0.861133337,_M_00005
1851,0.03,0.01,0,11100000_00010001,0.890083551,_M_00005
1852,-0.03,0.01,0,11000000_00010001,0.918858051,_M_00005
1853,0.03,0.01,0,11100000_00010001,0.947458506,_M_00005
1854,0.03,0.01,0,11100000_00010001,0.975601435,_M_00005
1855,0.03,0.01,0,11100000_00010001,1.004483223,_M_00005
1856,0.03,0.012,0,11100000_00010001,1.033152819,_M_00005
1857,0.03,0.008,0,11100000_00010001,1.061357975,_M_00005
1858,0.03,0.01,0,11100000_00010001,1.090308189,_M_00005
1859,0.03,0.01,0,11100000_00010001,1.118257761,_M_00005
1860,0.03,0.01,0,11100000_00010001,1.147007465,_M_00005
1861,0.03,0.008,0,11100000_00010001,1.176319122,_M_00005
1862,0.03,0.01,0,11100000_00010001,1.204111576,_M_00005
1863,0.03,0.012,0,11100000_00010001,1.232883692,_M_00005
1864,0.03,0.01,0,11100000_00010001,1.262006998,_M_00005
1865,0.03,0.008,0,11100000_00010001,1.290338993,_M_00005
1866,0.03,0.01,0,11100000_00010001,1.318306923,_M_00005
1867,0.03,-0.008,0,10100000_00010001,1.346605778,_M_00005
1868,0.03,0.01,0,11100000_00010001,1.375685453,_M_00005
1869,0.03,0.008,0,11100000_00010001,1.40398407,_M_00005
1870,0.03,0.008,0,11100000_00010001,1.433123827,_M_00005
1871,0.03,0.012,0,11100000_00010001,1.461657763,_M_00005
1872,0.03,0.01,0,11100000_00010001,1.490517139,_M_00005
1873,0.03,0.012,0,11100000_00010001,1.518458843,_M_00005
1874,0.03,0.008,0,11100000_00010001,1.547381401,_M_00005
1875,0.03,0.01,0,11100000_00010001,1.575331688,_M_00005
1876,0.03,0.014,0,11100000_00010001,1.604283094,_M_00005
1877,0.03,0.01,0,11100000_00010001,1.633059978,_M_00005
1878,-0.03,0.012,0,11000000_00010001,1.662031889,_M_00005
1879,0.03,0.012,0,11100000_00010001,1.690084219,_M_00005
1880,0.03,0.01,0,11100000_00010001,1.718436003,_M_00005
1881,0.03,0.012,0,11100000_00010001,1.747481823,_M_00005
1882,0.03,0.012,0,11100000_00010001,1.775431633,_M_00005
1883,0.01,0.01,0,11100000_00010001,1.804480791,_M_00005
1884,0.03,0.008,0,11100000_00010001,1.833408117,_M_00005
1885,0.03,0.008,0,11100000_00010001,1.861359358,_M_00005
1886,0.03,0.01,0,11100000_00010001,1.890305996,_M_00005
1887,0.03,0.01,0,11100000_00010001,1.918506145,_M_00005
1888,0.03,0.008,0,11100000_00010001,1.947580814,_M_00005
1889,0.03,0.01,0,11100000_00010001,1.975585222,_M_00005
1750,0.03,0.01,0,11100000_00010001,2.004594564,_M_00005
1751,0.03,0.008,0,11100000_00010001,2.032533884,_M_00005
1752,0.03,0.01,0,11100000_00010001,2.061480522,_M_00005
1753,0.03,0.008,0,11100000_00010001,2.090569496,_M_00005
1754,0.03,-0.008,0,10100000_00010001,2.118638754,_M_00005
1755,0.01,0.01,0,11100000_00010001,2.147705555,_M_00005
1756,0.03,0.008,0,11100000_00010001,2.175706387,_M_00005
1757,0.01,0.006,0,11100000_00000001,2.204805374,_M_00005
1758,0.03,0.012,0,11100000_00010001,2.232805014,_M_00005
1759,0.03,0.01,0,11100000_00010001,2.261155844,_M_00005
1760,0.03,0.01,0,11100000_00010001,2.290107727,_M_00005
1761,0.03,0.01,0,11100000_00010001,2.318655491,_M_00005
1762,0.03,0.01,0,11100000_00010001,2.347079992,_M_00005
1763,0.03,-0.006,0,10100000_00010001,2.376030207,_M_00005
1764,0.01,0.01,0,11100000_00010001,2.403980017,_M_00005
1765,0.03,0.01,0,11100000_00010001,2.432930231,_M_00005
1766,0.03,0.01,0,11100000_00010001,2.461255789,_M_00005
1767,0.03,0.01,0,11100000_00010001,2.490679502,_M_00005
1768,0.03,0.012,0,11100000_00010001,2.519104958,_M_00005
1769,0.03,0.01,0,11100000_00010001,2.547154665,_M_00005
1770,0.03,0.012,0,11100000_00010001,2.575289011,_M_00005
1771,0.03,0.008,0,11100000_00010001,2.604355574,_M_00005
1772,0.03,-0.01,0,10100000_00010001,2.633173943,_M_00005
1773,0.03,0.012,0,11100000_00010001,2.661264658,_M_00005
1774,0.03,0.01,0,11100000_00010001,2.690337658,_M_00005
1775,0.03,0.01,0,11100000_00010001,2.718353987,_M_00005
1776,0.03,0.012,0,11100000_00010001,2.747305155,_M_00005
1777,0.03,0.008,0,11100000_00010001,2.776279211,_M_00005
1778,0.03,-0.008,0,10100000_00010001,2.804254532,_M_00005
1779,0.03,0.008,0,11100000_00010001,2.833178282,_M_00005
1780,0.03,-0.01,0,10100000_00010001,2.861153841,_M_00005
1781,0.03,0.01,0,11100000_00010001,2.890106678,_M_00005
1782,0.03,0.01,0,11100000_00010001,2.919153929,_M_00005
1783,0.03,0.01,0,11100000_00010001,2.947205305,_M_00005
1784,0.03,0.01,0,11100000_00010001,2.976280212,_M_00005
1785,0.03,0.01,0,11100000_00010001,3.004356623,_M_00005
1786,0.03,0.01,0,11100000_00010001,3.033352375,_M_00005
1787,0.03,0.01,0,11100000_00010001,3.061337948,_M_00005
1788,0.03,-0.01,0,10100000_00010001,3.090309381,_M_00005
1789,0.03,0.012,0,11100000_00010001,3.118253231,_M_00005
1790,0.03,0.01,0,11100000_00010001,3.147588491,_M_00005
1791,0.03,0.01,0,11100000_00010001,3.175585032,_M_00005
1792,0.01,0.012,0,11100000_00010001,3.204583406,_M_00005
1793,0.03,0.012,0,11100000_00010001,3.232677937,_M_00005
1794,0.03,0.01,0,11100000_00010001,3.261256933,_M_00005
1795,0.01,-0.012,0,10100000_00010001,3.290329456,_M_00005
1796,0.03,0.01,0,11100000_00010001,3.318310261,_M_00005
1797,0.03,0.01,0,11100000_00010001,3.347280264,_M_00005
1798,0.03,0.008,0,11100000_00010001,3.375582457,_M_00005
1799,0.03,0.012,0,11100000_00010001,3.404678583,_M_00005
1800,0.03,0.008,0,11100000_00010001,3.432629108,_M_00005
1801,0.03,0.012,0,11100000_00010001,3.461127996,_M_00005
1802,0.03,0.008,0,11100000_00010001,3.490087986,_M_00005
1803,0.03,0.01,0,11100000_00010001,3.519028425,_M_00005
1804,0.03,0.012,0,11100000_00010001,3.546979427,_M_00005
1805,0.03,0.01,0,11100000_00010001,3.575930357,_M_00005
1806,0.03,0.012,0,11100000_00010001,3.603877544,_M_00005
1807,0.03,0.006,0,11100000_00010001,3.632827759,_M_00005
1808,0,0.006,0,01100000_00010001,3.662378073,_M_00005
1809,0.01,0.008,0,11100000_00010001,3.690228462,_M_00005
1810,0.03,0.012,0,11100000_00010001,3.718453884,_M_00005
1811,0.03,0.012,0,11100000_00010001,3.747402668,_M_00005
1812,0.03,0.012,0,11100000_00010001,3.775353432,_M_00005
1813,0.03,0.012,0,11100000_00010001,3.804303169,_M_00005
1814,0.03,0.01,0,11100000_00010001,3.833173275,_M_00005
1815,0.03,0.008,0,11100000_00010001,3.861152411,_M_00005
1816,0.03,0.014,0,11100000_00010001,3.890128136,_M_00005
1817,0.03,0.008,0,11100000_00010001,3.91930294,_M_00005
1818,0.03,0.008,0,11100000_00010001,3.947354555,_M_00005
1819,0.03,0.012,0,11100000_00010001,3.97540164,_M_00005
1680,0.03,0.012,0,11100000_00010001,4.004344702,_M_00005
1681,0.03,0.012,0,11100000_00010001,4.033353806,_M_00005
1682,0.03,0.01,0,11100000_00010001,4.061328888,_M_00005
1683,0.03,0.01,0,11100000_00010001,4.090282202,_M_00005
1684,0.03,0.012,0,11100000_00010001,4.118226528,_M_00005
1685,0.03,0.008,0,11100000_00010001,4.147152662,_M_00005
1686,0.03,0.01,0,11100000_00010001,4.17613101,_M_00005
1687,0.03,0.012,0,11100000_00010001,4.204082012,_M_00005
1688,0.03,-0.01,0,10100000_00010001,4.233059168,_M_00005
1689,0.03,0.01,0,11100000_00010001,4.260576725,_M_00005
1690,0.03,0.01,0,11100000_00010001,4.290675879,_M_00005
1691,0.03,0.01,0,11100000_00010001,4.31872654,_M_00005
1692,0.03,0.008,0,11100000_00010001,4.347718239,_M_00005
1693,0.03,0.01,0,11100000_00010001,4.374805212,_M_00005
1694,0.03,0.01,0,11100000_00010001,4.40480113,_M_00005
1695,0.03,0.01,0,11100000_00010001,4.432808399,_M_00005
1696,0.03,0.01,0,11100000_00010001,4.461125851,_M_00005
1697,0.03,0.01,0,11100000_00010001,4.490082979,_M_00005
1698,0.03,0.008,0,11100000_00010001,4.519051313,_M_00005
1699,0.03,0.008,0,11100000_00010001,4.547003746,_M_00005
1700,0.03,0.006,0,11100000_00010001,4.575951338,_M_00005
1701,0.03,0.008,0,11100000_00010001,4.603910923,_M_00005
1702,0.03,0.01,0,11100000_00010001,4.632875919,_M_00005
1703,0.03,0.008,0,11100000_00010001,4.66125083,_M_00005
1704,0.03,0.01,0,11100000_00010001,4.690252542,_M_00005
1705,0.01,0.01,0,01100000_00010001,4.719351053,_M_00005
1706,0.01,-0.006,0,10100000_00000001,4.747396231,_M_00005
1707,0.03,-0.012,0,10100000_00010001,4.775384188,_M_00005
1708,0.03,0.008,0,11100000_00010001,4.803393126,_M_00005
1709,0.03,0.01,0,11100000_00010001,4.833172798,_M_00005
1710,0.03,0.01,0,11100000_00010001,4.861209154,_M_00005
1711,0.03,-0.01,0,10100000_00010001,4.890525818,_M_00005
1712,0.03,0.01,0,11100000_00010001,4.918510437,_M_00005
1713,0.03,0.008,0,11100000_00010001,4.947470188,_M_00005
1714,0.03,0.008,0,11100000_00010001,4.975525618,_M_00005
1715,0.03,0.01,0,11100000_00010001,5.004259348,_M_00005
1716,0.03,-0.008,0,10100000_00010001,5.033169031,_M_00005
1717,-0.03,0.01,0,11000000_00010001,5.061224699,_M_00005
1718,0.03,0.01,0,11100000_00010001,5.090201139,_M_00005
1719,0.03,0.01,0,11100000_00010001,5.119301319,_M_00005
1720,0.03,0.01,0,11100000_00010001,5.147132874,_M_00005
1721,0.03,0.01,0,11100000_00010001,5.175559521,_M_00005
1722,0.03,0.01,0,11100000_00010001,5.204674959,_M_00005
1723,0.03,0.008,0,11100000_00010001,5.232624769,_M_00005
1724,0.03,0.008,0,11100000_00010001,5.261125088,_M_00005
1725,0.03,0.01,0,11100000_00010001,5.291856527,_M_00005
1726,0.03,0.01,0,11100000_00010001,5.320334673,_M_00005
1727,0.03,0.01,0,11100000_00010001,5.348800182,_M_00005
1728,0.03,0.012,0,11100000_00010001,5.377225876,_M_00005
1729,0.03,0.012,0,11100000_00010001,5.405675411,_M_00005
1730,0.03,0.01,0,11100000_00010001,5.434123993,_M_00005
1731,0.03,0.012,0,11100000_00010001,5.462576389,_M_00005
