,volts,amps,power,sysstatus,timestamp,M_ID
2660,0.03,0.012,0,11100000_00010001,0.010131598,_M_00005
2661,0.03,0.01,0,11100000_00010001,0.033362865,_M_00005
2662,0.03,0.01,0,11100000_00010001,0.061417818,_M_00005
2663,0.03,0.01,0,11100000_00010001,0.090466022,_M_00005
2664,0.03,0.01,0,11100000_00010001,0.118374348,_M_00005
2665,0.03,0.014,0,11100000_00010001,0.147003889,_M_00005
2666,0.03,0.012,0,11100000_00010001,0.176000118,_M_00005
2667,0.03,0.012,0,11100000_00010001,0.204639912,_M_00005
2668,0.03,0.012,0,11100000_00010001,0.232542992,_M_00005
2669,0.05,0.01,0,11100000_00010001,0.26129365,_M_00005
2670,0.03,0.008,0,11100000_00010001,0.290398598,_M_00005
2671,0.03,0.01,0,11100000_00010001,0.318373442,_M_00005
2672,0.03,0.01,0,11100000_00010001,0.347715378,_M_00005
2673,0.05,0.01,0,11100000_00010001,0.375998974,_M_00005
2674,0.03,0.012,0,11100000_00010001,0.404742479,_M_00005
2675,0.03,0.01,0,11100000_00010001,0.432747364,_M_00005
2676,0.03,0.008,0,11100000_00010001,0.461536646,_M_00005
2677,0.03,0.012,0,11100000_00010001,0.490519047,_M_00005
2678,0.03,0.014,0,11100000_00010001,0.519245148,_M_00005
2679,0.03,0.012,0,11100000_00010001,0.547291994,_M_00005
2680,0.03,0.012,0,11100000_00010001,0.57561779,_M_00005
2681,0.05,0.014,0,11100000_00010001,0.604725838,_M_00005
2682,0.03,-0.01,0,10100000_00010001,0.633467436,_M_00005
2683,0.03,0.01,0,11100000_00010001,0.661542654,_M_00005
2684,0.03,0.01,0,11100000_00010001,0.689587593,_M_00005
2685,0.03,0.012,0,11100000_00010001,0.718677759,_M_00005
2686,0.03,0.012,0,11100000_00010001,0.747426033,_M_00005
2687,0.03,-0.01,0,10100000_00010001,0.775418282,_M_00005
2688,0.03,0.01,0,11100000_00010001,0.804714441,_M_00005
2689,0.03,-0.01,0,10100000_00010001,0.832751989,_M_00005
2690,0.03,0.008,0,11100000_00010001,0.861517668,_M_00005
2691,0.03,0.014,0,11100000_00010001,0.890420437,_M_00005
2692,0.03,0.012,0,11100000_00010001,0.91906786,_M_00005
2693,0.05,0.012,0,11100000_00010001,0.946985483,_M_00005
2694,0.03,0.01,0,11100000_00010001,0.975966454,_M_00005
2695,0.05,0.012,0,11100000_00010001,1.003922462,_M_00005
2696,0.03,0.008,0,11100000_00010001,1.03273797,_M_00005
2697,0.03,0.01,0,11100000_00010001,1.06175828,_M_00005
2698,0.03,0.01,0,11100000_00010001,1.090440989,_M_00005
2699,0.03,0.01,0,11100000_00010001,1.118494749,_M_00005
2700,0.03,0.01,0,11100000_00010001,1.146802902,_M_00005
2701,0.03,0.012,0,11100000_00010001,1.176398754,_M_00005
2702,0.03,0.008,0,11100000_00010001,1.204441309,_M_00005
2703,0.03,0.01,0,11100000_00010001,1.233385801,_M_00005
2704,0.03,0.012,0,11100000_00010001,1.261342049,_M_00005
2705,0.03,0.012,0,11100000_00010001,1.290743589,_M_00005
2706,0.03,0.01,0,11100000_00010001,1.31874609,_M_00005
2707,0.03,0.012,0,11100000_00010001,1.346878529,_M_00005
2708,0.03,0.012,0,11100000_00010001,1.375950813,_M_00005
2709,0.03,0.008,0,11100000_00010001,1.404817104,_M_00005
2710,0.03,0.008,0,11100000_00010001,1.432890892,_M_00005
2711,0.03,0.01,0,11100000_00010001,1.461766481,_M_00005
2712,0.03,0.01,0,11100000_00010001,1.490321159,_M_00005
2713,0.03,0.012,0,11100000_00010001,1.51919651,_M_00005
2714,-0.03,-0.01,0,10000000_00010001,1.547163963,_M_00005
2715,0.03,0.01,0,11100000_00010001,1.575471163,_M_00005
2716,0.03,0.012,0,11100000_00010001,1.604505062,_M_00005
2717,0.03,0.01,0,11100000_00010001,1.632843018,_M_00005
2718,0.03,-0.01,0,10100000_00010001,1.661921501,_M_00005
2719,0.03,0.014,0,11100000_00010001,1.690742254,_M_00005
2720,0.03,0.01,0,11100000_00010001,1.718730211,_M_00005
2721,0.03,0.008,0,11100000_00010001,1.747799158,_M_00005
2722,0.05,0.006,0,11100000_00010001,1.775765657,_M_00005
2723,0.03,0.012,0,11100000_00010001,1.806442738,_M_00005
2724,0.03,0.012,0,11100000_00010001,1.832546711,_M_00005
2725,0.03,0.01,0,11100000_00010001,1.861516237,_M_00005
2726,0.03,0.01,0,11100000_00010001,1.891379356,_M_00005
2727,0.03,0.012,0,11100000_00010001,1.920170069,_M_00005
2728,0.03,0.008,0,11100000_00010001,1.948615313,_M_00005
2729,0.03,-0.014,0,10100000_00010001,1.977071285,_M_00005
2590,0.03,-0.01,0,10100000_00010001,2.005518198,_M_00005
2591,0.03,0.012,0,11100000_00010001,2.033945322,_M_00005
2592,0.03,0.012,0,11100000_00010001,2.062362194,_M_00005
2593,0.03,0.01,0,11100000_00010001,2.09036994,_M_00005
2594,0.03,0.008,0,11100000_00010001,2.119290352,_M_00005
2595,0.03,-0.012,0,10100000_00010001,2.147740841,_M_00005
2596,0.03,0.008,0,11100000_00010001,2.176291466,_M_00005
2597,0.03,0.01,0,11100000_00010001,2.204550266,_M_00005
2598,0.03,0.01,0,11100000_00010001,2.233244896,_M_00005
2599,0.03,0.008,0,11100000_00010001,2.26149106,_M_00005
2600,0.03,0.01,0,11100000_00010001,2.290564775,_M_00005
2601,0.03,0.008,0,11100000_00010001,2.318514824,_M_00005
2602,0.03,-0.012,0,10100000_00010001,2.347264767,_M_00005
2603,0.03,0.012,0,11100000_00010001,2.376265049,_M_00005
2604,0.03,0.01,0,11100000_00010001,2.404614449,_M_00005
2605,0.03,-0.008,0,10100000_00010001,2.43271184,_M_00005
2606,0.05,0.012,0,11100000_00010001,2.46119523,_M_00005
2607,0.03,0.01,0,11100000_00010001,2.490164042,_M_00005
2608,0.03,0.012,0,11100000_00010001,2.519253492,_M_00005
2609,0.03,0.01,0,11100000_00010001,2.547450066,_M_00005
2610,0.03,0.01,0,11100000_00010001,2.576213837,_M_00005
2611,0.03,0.01,0,11100000_00010001,2.603895664,_M_00005
2612,0.03,0.014,0,11100000_00010001,2.63283968,_M_00005
2613,0.03,0.01,0,11100000_00010001,2.661833048,_M_00005
2614,0.03,0.01,0,11100000_00010001,2.689738989,_M_00005
2615,0.03,0.01,0,11100000_00010001,2.71841383,_M_00005
2616,0.03,0.008,0,11100000_00010001,2.746961355,_M_00005
2617,0.03,0.01,0,11100000_00010001,2.7761724,_M_00005
2618,0.03,0.01,0,11100000_00010001,2.804238558,_M_00005
2619,0.03,0.012,0,11100000_00010001,2.8335464,_M_00005
