,volts,amps,power,sysstatus,timestamp,M_ID
5670,14.6,0.01,0.1,11100000_00010000,0.009851694,_M_00005
5671,14.6,0.01,0.2,11100000_00010000,0.033303261,_M_00005
5672,14.6,0.01,0.1,11100000_00010000,0.061388969,_M_00005
5673,14.6,0.01,0.2,11100000_00010000,0.091050863,_M_00005
5674,14.6,0.01,0.2,11100000_00010000,0.119065046,_M_00005
5675,14.6,0.01,0.1,11100000_00010000,0.147039413,_M_00005
5676,14.6,0.01,0.2,11100000_00010000,0.176012993,_M_00005
5677,14.6,0.01,0.1,11100000_00010000,0.203967094,_M_00005
5678,14.6,0.01,0.1,11100000_00010000,0.232914448,_M_00005
5679,14.6,0.01,0.1,11100000_00010000,0.261890888,_M_00005
5680,14.6,0.01,0.2,11100000_00010000,0.289936066,_M_00005
5681,14.6,0.008,0.1,11100000_00010000,0.318986416,_M_00005
5682,14.6,0.01,0.2,11100000_00010000,0.347038031,_M_00005
5683,14.6,0.01,0.1,11100000_00010000,0.376011848,_M_00005
5684,14.6,0.01,0.2,11100000_00010000,0.403962851,_M_00005
5685,14.6,0.012,0.2,11100000_00010000,0.432886362,_M_00005
5686,14.6,-0.008,0.1,10100000_00010000,0.46186471,_M_00005
5687,14.6,0.01,0.1,11100000_00010000,0.489811659,_M_00005
5688,14.6,0.008,0.1,11100000_00010000,0.518921375,_M_00005
5689,14.6,0.008,0.1,11100000_00010000,0.546986818,_M_00005
5690,14.6,0.01,0.2,11100000_00010000,0.576062202,_M_00005
5691,14.6,0.01,0.2,11100000_00010000,0.604036093,_M_00005
5692,14.62,0.008,0.1,11100000_00010000,0.632986069,_M_00005
5693,14.6,0.012,0.2,11100000_00010000,0.661344051,_M_00005
5694,14.6,0.01,0.2,11100000_00010000,0.690311432,_M_00005
5695,14.6,0.01,0.2,11100000_00010000,0.719210863,_M_00005
5696,14.6,0.008,0.1,11100000_00010000,0.747211695,_M_00005
5697,14.6,0.008,0.1,11100000_00010000,0.77618289,_M_00005
5698,14.6,-0.008,0.1,10100000_00010000,0.80406332,_M_00005
5699,14.62,0.008,0.1,11100000_00010000,0.833010674,_M_00005
5700,14.6,0.01,0.1,11100000_00010000,0.861961603,_M_00005
5701,14.6,0.012,0.2,11100000_00010000,0.889911652,_M_00005
5702,14.6,0.008,0.1,11100000_00010000,0.918847561,_M_00005
5703,14.6,0.008,0.1,11100000_00010000,0.946835518,_M_00005
5704,14.6,0.01,0.1,11100000_00010000,0.975786209,_M_00005
5705,14.6,0.01,0.2,11100000_00010000,1.004735708,_M_00005
5706,14.6,0.008,0.1,11100000_00010000,1.032810926,_M_00005
5707,14.6,-0.01,0.1,10100000_00010000,1.061860561,_M_00005
5708,14.6,0.008,0.1,11100000_00010000,1.090537071,_M_00005
5709,14.6,0.012,0.2,11100000_00010000,1.119196415,_M_00005
5710,14.6,-0.01,0.1,10100000_00010000,1.147260904,_M_00005
5711,14.6,0.008,0.1,11100000_00010000,1.176007509,_M_00005
5712,14.6,0.01,0.1,11100000_00010000,1.204139948,_M_00005
5713,14.6,0.008,0.1,11100000_00010000,1.23314023,_M_00005
5714,14.6,0.01,0.2,11100000_00010000,1.260427713,_M_00005
5715,14.6,0.01,0.2,11100000_00010000,1.290485859,_M_00005
5716,14.62,0.01,0.1,11100000_00010000,1.319192886,_M_00005
5717,14.6,0.01,0.1,11100000_00010000,1.34723568,_M_00005
5718,14.6,0.008,0.1,11100000_00010000,1.376327038,_M_00005
5719,14.6,-0.008,0.1,10100000_00010000,1.404260635,_M_00005
5720,14.6,0.01,0.1,11100000_00010000,1.433236599,_M_00005
5721,14.6,0.008,0.1,11100000_00010000,1.461130619,_M_00005
5722,14.6,0.01,0.1,11100000_00010000,1.49009037,_M_00005
5723,14.6,0.006,0.1,11100000_00010000,1.518455982,_M_00005
5724,14.62,0.012,0.2,11100000_00010000,1.547435522,_M_00005
5725,14.6,0.006,0.1,11100000_00010000,1.575406551,_M_00005
5726,14.6,0.012,0.2,11100000_00010000,1.604360104,_M_00005
5727,14.6,0.01,0.1,11100000_00010000,1.633312702,_M_00005
5728,14.6,0.012,0.2,11100000_00010000,1.660678864,_M_00005
5729,14.6,0.008,0.1,11100000_00010000,1.689636469,_M_00005
5730,14.6,0.008,0.1,11100000_00010000,1.717651367,_M_00005
