,volts,amps,power,sysstatus,timestamp,M_ID
2870,14.6,0.01,0.1,11100000_00010000,0.010006666,_M_00005
2871,14.6,0.008,0.1,11100000_00010000,0.033328056,_M_00005
2872,14.6,0.012,0.2,11100000_00010000,0.062382698,_M_00005
2873,14.6,0.012,0.2,11100000_00010000,0.0904634,_M_00005
2874,14.6,0.008,0.1,11100000_00010000,0.118358374,_M_00005
2875,14.6,0.012,0.2,11100000_00010000,0.147260666,_M_00005
2876,14.6,0.008,0.1,11100000_00010000,0.175515175,_M_00005
2877,14.6,0.01,0.2,11100000_00010000,0.204660654,_M_00005
2878,14.6,0.008,0.1,11100000_00010000,0.232535601,_M_00005
2879,14.6,0.01,0.1,11100000_00010000,0.261586428,_M_00005
2880,14.6,0.012,0.2,11100000_00010000,0.290438175,_M_00005
2881,14.6,0.008,0.1,11100000_00010000,0.318191528,_M_00005
2882,14.6,0.01,0.2,11100000_00010000,0.347168446,_M_00005
2883,14.6,0.01,0.2,11100000_00010000,0.375336647,_M_00005
2884,14.6,0.01,0.2,11100000_00010000,0.404559612,_M_00005
2885,14.6,0.01,0.2,11100000_00010000,0.432684422,_M_00005
2886,14.6,0.014,0.2,11100000_00010000,0.46165967,_M_00005
2887,14.6,0.008,0.1,11100000_00010000,0.490336657,_M_00005
2888,14.6,0.012,0.2,11100000_00010000,0.517983198,_M_00005
2889,14.6,0.01,0.2,11100000_00010000,0.547060251,_M_00005
2890,14.6,-0.012,0.2,10100000_00010000,0.575930119,_M_00005
2891,14.6,0.01,0.1,11100000_00010000,0.604684353,_M_00005
2892,14.6,0.01,0.1,11100000_00010000,0.632585287,_M_00005
2893,14.6,0.008,0.1,11100000_00010000,0.661567926,_M_00005
2894,14.6,0.01,0.2,11100000_00010000,0.690535784,_M_00005
2895,14.6,0.008,0.1,11100000_00010000,0.719193697,_M_00005
2896,14.6,0.01,0.2,11100000_00010000,0.746659517,_M_00005
2897,14.6,0.01,0.2,11100000_00010000,0.775620461,_M_00005
2898,14.6,0.012,0.2,11100000_00010000,0.804584265,_M_00005
2899,14.6,0.006,0.1,11100000_00010000,0.832535505,_M_00005
2900,14.6,0.012,0.2,11100000_00010000,0.86123991,_M_00005
2901,14.6,0.008,0.1,11100000_00010000,0.890209198,_M_00005
