timestamp,volts,amps,power,sysstatus,,M_ID,cycle
69.54748368,13.28,-0.01,-0.1,10100000_00000000,,_M_00004,35
69.57554746,13.29,-0.008,-0.1,10100000_00000000,,_M_00004,35
69.60339355,13.29,-0.008,-0.1,10100000_00000000,,_M_00004,35
69.63343334,13.28,-0.008,-0.1,10100000_00000000,,_M_00004,35
69.66141319,13.29,-0.006,-0.1,10100000_00000000,,_M_00004,35
69.69048786,13.28,-0.004,-0.1,10100000_00000000,,_M_00004,35
69.7185173,13.28,-0.008,-0.1,10100000_00000000,,_M_00004,35
69.74753571,13.29,-0.006,-0.1,10100000_00000000,,_M_00004,35
69.77551198,13.28,-0.006,-0.1,10100000_00000000,,_M_00004,35
69.80375147,13.28,-0.008,-0.1,10100000_00000000,,_M_00004,35
69.8326838,13.29,-0.01,-0.1,10100000_00000000,,_M_00004,35
69.8617878,13.29,-0.034,0,10100000_00010000,,_M_00004,35
69.88987112,13.28,-0.006,-0.1,10100000_00000000,,_M_00004,35
69.91883731,13.29,-0.01,-0.1,10100000_00000000,,_M_00004,35
69.94685364,13.29,-0.01,-0.1,10100000_00000000,,_M_00004,35
69.9761827,13.29,-0.008,-0.1,10100000_00000000,,_M_00004,35
70.00423384,13.29,-0.006,-0.1,10100000_00000000,,_M_00004,36
70.03327084,13.29,-0.008,-0.1,10100000_00000000,,_M_00004,36
70.06126523,13.28,-0.006,0,10100000_00000000,,_M_00004,36
70.08878326,13.28,-0.008,-0.1,10100000_00000000,,_M_00004,36
70.11876297,13.29,-0.01,-0.1,10100000_00000000,,_M_00004,36
70.1471529,13.29,-0.008,-0.1,10100000_00000000,,_M_00004,36
70.17618704,13.22,0.109,0.9,11100000_00010000,,_M_00004,36
70.20350432,13.15,0.555,7,11100000_00010000,,_M_00004,36
70.23261046,13.29,0.922,12.2,11100000_00010000,,_M_00004,36
70.26161265,13.31,1.19,15.8,11100000_00010000,,_M_00004,36
70.29071283,13.31,1.184,15.7,11100000_00010000,,_M_00004,36
70.31868792,13.29,1.231,16.3,11100000_00010000,,_M_00004,36
70.34707022,13.29,1.241,16.5,11100000_00010000,,_M_00004,36
70.37626791,13.29,1.237,16.4,11100000_00010000,,_M_00004,36
70.40436268,13.26,1.245,16.5,11100000_00010000,,_M_00004,36
70.43201494,13.26,1.389,18.4,11100000_00010000,,_M_00004,36
70.4619925,13.26,1.409,18.7,11100000_00010000,,_M_00004,36
70.49001312,13.31,1.446,19.2,11100000_00010000,,_M_00004,36
70.51879692,13.31,1.484,19.8,11100000_00010000,,_M_00004,36
70.54615569,13.35,1.496,19.9,11100000_00010000,,_M_00004,36
70.57614207,13.37,1.527,20.4,11100000_00010000,,_M_00004,36
