,volts,amps,power,sysstatus,timestamp,M_ID
7080,116.27,0.058,0.6,01100000_00110010,0.01648736,_M_00005
7081,116.27,0.058,0.6,01100000_00110010,0.022033453,_M_00005
7082,116.27,0.056,0.3,01100000_00110010,0.039076328,_M_00005
7083,116.27,0.058,0,01100000_00110010,0.055503368,_M_00005
7084,116.2,0.054,0,01100000_00100010,0.071754932,_M_00005
7085,116.25,0.056,0.4,01100000_00110010,0.088539124,_M_00005
7086,116.25,0.056,0,01100000_00110010,0.105094433,_M_00005
7087,116.25,0.056,0.4,01100000_00110010,0.12125659,_M_00005
7088,116.25,0.056,0.2,01100000_00110010,0.137545586,_M_00005
7089,116.21,0.056,0.5,01100000_00110010,0.154773712,_M_00005
7090,116.23,0.056,0.2,01100000_00110010,0.170948982,_M_00005
7091,116.23,0.058,0.3,01100000_00110010,0.188176155,_M_00005
7092,116.18,0.054,0.6,01100000_00110010,0.205132246,_M_00005
7093,116.23,0.054,0.4,01100000_00110010,0.221248627,_M_00005
7094,116.2,0.06,0.4,01100000_00110010,0.238474607,_M_00005
7095,116.23,0.058,0.6,01100000_00110010,0.254573822,_M_00005
7096,116.21,0.058,0.3,01100000_00110010,0.271799564,_M_00005
7097,116.21,0.056,0.4,01100000_00110010,0.287927151,_M_00005
7098,116.2,0.056,0.3,01100000_00110010,0.30417347,_M_00005
7099,116.16,0.058,0.6,01100000_00110010,0.32140708,_M_00005
7100,116.21,0.056,0.6,01100000_00110010,0.337599039,_M_00005
7101,116.2,0.056,0.2,01100000_00110010,0.354824066,_M_00005
7102,116.23,0.056,0.3,01100000_00110010,0.37094903,_M_00005
7103,116.23,0.056,0.6,01100000_00110010,0.388204336,_M_00005
7104,116.23,0.056,0.3,01100000_00110010,0.404298782,_M_00005
7105,116.16,0.058,0.3,01100000_00110010,0.421572924,_M_00005
7106,116.23,0.056,0.4,01100000_00110010,0.43780756,_M_00005
7107,116.27,0.056,0.5,01100000_00110010,0.454898119,_M_00005
7108,116.25,0.058,0.6,01100000_00110010,0.471150637,_M_00005
7109,116.23,0.058,0.3,01100000_00110010,0.48839879,_M_00005
7110,116.18,0.056,0.3,01100000_00110010,0.504577637,_M_00005
7111,116.25,0.056,0.1,01100000_00110010,0.521805525,_M_00005
7112,116.29,0.058,0.8,01100000_00110010,0.537921667,_M_00005
7113,116.27,0.056,0.2,01100000_00110010,0.55402422,_M_00005
7114,116.27,0.058,0.3,01100000_00110010,0.571255684,_M_00005
